Date,Source Gas/Oil Price Name,Argent Gas/Oil Category,Argent Gas/Oil Price Name,Price EUR/mt
08/01/2022,Biodiesel UCOME (used cooking oil) RED bulk China fob_midpoint,Biodiesel,UCOME bulk fob China,1437.009609
08/01/2022,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo_diff high,Feedstock Diff,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo prompt diff high,38.86978753
08/01/2022,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo_diff low,Feedstock Diff,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo prompt diff low,19.43930177
08/01/2022,Biofuel soybean oil Argentina vs CBOT waterborne fob San Lorenzo_high low avg,,,33.07
08/01/2022,D-AAWGJ00,Biodiesel,SME fob ARA,1545.00573
08/01/2022,D-AAYWT00,MGO,MGO 0.1%,619.3246936
08/01/2022,Freight PME Malaysia - ARA 3-5kt_midpoint,Biodiesel,PME fob MY,105.7921185
08/01/2022,Gasoil NWE 7-28 day swaps_settlement,Biodiesel,Gasoil,625.2755003
08/01/2022,HVO (hydrotreated vegetable oil) fob ARA range (Class I) USD/t_midpoint,HVO & SAF,HVO (class I) fob ARA,2005.430662
08/01/2022,HVO (hydrotreated vegetable oil) fob ARA range (Class II) USD/t_midpoint,HVO & SAF,HVO (class II) fob ARA,2542.299215
08/01/2022,HVO (hydrotreated vegetable oil) fob ARA range (Class III) USD/t_midpoint,HVO & SAF,HVO (class III) fob ARA,2197.575597
08/01/2022,Palm oil futures Bursa Malaysia month_settlement,Feedstocks,Palm Oil futures,1044.644274
08/01/2022,Palm oil mill effluent (POME) oil RED ARA cif_midpoint,Feedstocks,POME cif ARA,1137.265274
08/01/2022,Palm oil mill effluent (POME) oil RED Malaysia/Indonesia fob_midpoint,,,1120
08/01/2022,Rapeseed oil fob Dutch Mill RSO_midpoint,Feedstocks,RSO fob Dutch Mill,1690
